general,acc,f-measure,precision
XML,0.3864331940809886,0.7106666679183642,0.5778240551551183
Concurrency,0.43268413841724396,0.7431111094024446,0.6178638014528487
HTTP,0.3538396317511797,0.7239999953657389,0.5273798245936632
Network,0.4525283469603612,0.7942564090857139,0.574673549639873
Memory,0.4000000059604645,0.6399999856948853,0.7599999904632568
OpenOfficeDocuments,0.2456903209288915,0.3733333299557368,0.8107883532842001
CommandLine,0.3084324384108186,0.6499999994412065,0.5391560969874263
Utils,0.42617179203194144,0.8149999980906061,0.49570963900609344
Throws,0.4111650119657102,0.7156521745997927,0.6235378721485967
Dependency,0.37075589570929024,0.7496470572317347,0.5179917632656938
Logging,0.4517436263890102,0.8056551709771156,0.545354939483363
Latex,0.42831585875579287,0.7257142897163119,0.6472047524792808
DataStructure,0.42853093714682144,0.8149878327936442,0.4977819028779538
Utility,0.3723084293305874,0.7300000031563368,0.5576661982658234
Test,0.34579660138878665,0.7698360629013328,0.45729488506913185
Runtime,0.3678985777738932,0.7091891946824821,0.5738787618843285
JDK,0.14945652335882187,0.48000001162290573,0.5919565260410309
IO,0.44592108589278745,0.8098734159352659,0.5306467377120936
UI,0.4285899288379229,0.8102153824384396,0.5067115653478182
Annotation ,0.0,0.0,0.0
Security,0.3597107231616974,0.6327272694219243,0.6180382777344097
UserPreferences,0.4024110734462738,0.7199999992000429,0.6217633034837874
Database,0.3843042973961149,0.7142857147114617,0.5458015880414417
Data,0.428299875025755,0.8150485418736935,0.497374665281437
Monitoring,0.2386133335530758,0.6399999968707561,0.5055060641219219
TextUtility,0.3723084293305874,0.7300000031563368,0.5576661982658234
