pr,acc,f-measure,precision
3778,0.4285714328289032,0.8399999999999999,0.495
3783,0.4000000059604645,0.76,0.4933333333333333
3784,0.3333333432674408,0.8399999999999999,0.4933333333333333
3785,0.6666666865348816,0.92,0.7466666666666666
3789,0.1666666716337204,0.8000000000000002,0.14
3790,0.625,0.88,0.6352380952380953
3798,0.4166666567325592,0.72,0.6267916865742953
3800,0.20000000298023224,0.8399999999999999,0.2
3801,0.4000000059604645,0.88,0.3733333333333333
3806,0.2857142984867096,0.8000000000000002,0.30666666666666664
3808,0.4444444477558136,0.8000000000000002,0.56
3820,0.5,0.88,0.48999999999999994
3821,0.7142857313156128,0.92,0.7344444444444446
3824,0.75,0.96,0.79
3825,0.800000011920929,0.96,0.8400000000000001
3826,0.800000011920929,0.96,0.8
3847,0.3333333432674408,0.8399999999999999,0.49666666666666665
3862,0.6000000238418579,0.8399999999999999,0.82
3863,0.4285714328289032,0.8399999999999999,0.5885714285714285
3865,0.2857142984867096,0.8000000000000002,0.38222222222222224
3871,0.4000000059604645,0.88,0.4
3872,0.8333333134651184,0.96,0.8333333333333334
3878,0.3333333432674408,0.68,0.3466666666666667
3881,0.3636363744735718,0.72,0.44571428571428573
3882,0.4285714328289032,0.8399999999999999,0.495
3883,0.4444444477558136,0.8000000000000002,0.6241666666666668
3884,0.0,0.68,0.12
3886,0.25,0.76,0.28
3887,0.125,0.72,0.125
3891,0.1666666716337204,0.8000000000000002,0.26
3895,0.2857142984867096,0.8000000000000002,0.2857142857142857
3899,0.0,0.92,0.165
3904,0.625,0.88,0.6352380952380953
3907,0.25,0.76,0.23047619047619047
3909,0.4545454680919647,0.76,0.45666666666666667
3911,0.0,0.68,0.04
3919,0.20000000298023224,0.8399999999999999,0.165
3927,0.125,0.72,0.13555555555555554
3931,0.2857142984867096,0.8000000000000002,0.7542857142857142
3932,0.1428571492433548,0.76,0.14666666666666667
3942,0.4444444477558136,0.8000000000000002,0.46095238095238095
3944,0.4545454680919647,0.76,0.510625
3947,0.5,0.88,0.5
3950,0.30000001192092896,0.72,0.305
3954,0.46666666865348816,0.68,0.4775
3964,0.3333333432674408,0.8399999999999999,0.4666666666666667
3965,0.3636363744735718,0.72,0.36000000000000004
3967,0.8333333134651184,0.96,0.8333333333333334
3968,0.375,0.8000000000000002,0.48142857142857143
3970,0.125,0.72,0.3114285714285715
3976,0.4285714328289032,0.8399999999999999,0.495
3979,0.5,0.8000000000000002,0.6229629629629629
3983,0.4000000059604645,0.88,0.41333333333333333
3984,0.5,0.88,0.48999999999999994
3987,0.375,0.8000000000000002,0.42
3988,0.20000000298023224,0.8399999999999999,0.19111111111111112
3996,0.4285714328289032,0.8399999999999999,0.44
4002,0.20000000298023224,0.68,0.23428571428571426
4004,0.3333333432674408,0.8399999999999999,0.3333333333333333
4011,0.4545454680919647,0.76,0.45454545454545453
4015,0.4285714328289032,0.68,0.7485714285714286
4016,0.625,0.88,0.6352380952380953
4019,0.20000000298023224,0.8399999999999999,0.19111111111111112
4030,0.25,0.88,0.20666666666666667
4031,0.375,0.8000000000000002,0.48142857142857143
4034,0.25,0.88,0.25
4035,0.25,0.76,0.25
4037,0.5,0.8399999999999999,0.5244444444444444
4039,0.1666666716337204,0.8000000000000002,0.14
4040,0.0,0.8000000000000002,0.08
