general,acc,f-measure,precision
XML,0.31850367585817974,0.673333331445853,0.5262114837765693
Concurrency,0.38679373777574966,0.7279999987946616,0.5884195314513312
HTTP,0.32359376847743987,0.6900000017136335,0.507418829575181
Network,0.4145420319758929,0.767794871253845,0.5468462763688503
Memory,0.4000000059604645,0.6399999856948853,0.7599999904632568
OpenOffice Documents,0.27310789624849957,0.40000000099341076,0.8271352052688599
CommandLine,0.3162667159922421,0.6525000026449561,0.5360930943861604
Utils,0.38459159609149485,0.7936274498774141,0.47815131310227454
Throws,0.37729625711622444,0.7026086990600047,0.5882971056777498
Dependency,0.3310238158878158,0.7284705896587933,0.4862678050118334
Logging,0.4028086443913394,0.7839999987647451,0.5154675435146381
Latex,0.3507894831044333,0.6857142810310636,0.6169204413890839
Data Structure,0.3893007366145324,0.7960097309374171,0.4794383876188828
Utility,0.32575328851288016,0.701818180016496,0.5192353488369421
Test,0.37389133467537455,0.7704918002251719,0.5000689940252265
Runtime,0.33183100940407934,0.6962162155557323,0.5470357126480824
JDK,0.27950310707092285,0.5199999883770943,0.7302173674106598
IO,0.41104965074624444,0.7892405046032199,0.5102433064315892
UI,0.3734830358165961,0.7841230769799306,0.4671258954818432
Annotation ,0.37857143580913544,0.6399999856948853,0.6420454382896423
Security,0.2799804982813922,0.6072727292776108,0.5727935541759838
User Preferences,0.3699333589327963,0.6968421085100425,0.582883710531812
Database,0.3745135824595179,0.7222857113395419,0.5483122629778726
Data,0.38904931322101827,0.7960194160854354,0.47911728193386666
Monitoring,0.22994990150133768,0.6066666680077711,0.4796945278843244
Text Utility,0.32575328851288016,0.701818180016496,0.5192353488369421
