general,acc,f-measure,precision
XML,0.380755740404129,0.7093333353598913,0.576570897301038
Concurrency,0.4332732137706545,0.7466666658719381,0.6186259670390023
HTTP,0.34603462889790537,0.7219999991357327,0.5244836412370205
Network,0.45360902693027105,0.7971282034348219,0.5735120259034328
Memory,0.46666666865348816,0.6800000071525574,0.7866666913032532
OpenOfficeDocuments,0.23035849630832672,0.3733333349227905,0.8133306304613749
CommandLine,0.2954792585223913,0.6525000017136335,0.5362730445340276
Utils,0.4250445877585341,0.8179411748606785,0.49195254685393736
Throws,0.4128744181083596,0.7208695664353992,0.6273519526357236
Dependency,0.3743619332418722,0.7538823551991407,0.5183769876466078
Logging,0.4478632124847379,0.806758619279697,0.5390046457021401
Latex,0.39597828686237335,0.7257142875875745,0.6206778245312827
DataStructure,0.4273163346696074,0.8182968351527722,0.4939419226743589
Utility,0.3889449316669594,0.7363636378537525,0.5614617868241939
Test,0.35826342913215276,0.777377045789703,0.4628380610928184
Runtime,0.3723660377231804,0.7124324352354616,0.5677638295534495
JDK,0.2515527978539467,0.5400000065565109,0.6286956369876862
IO,0.44106592584542836,0.8107594924071168,0.5247082903603965
UI,0.42743021371272893,0.8131692296725053,0.5018759441146484
Annotation ,0.0,0.0,0.0
Security,0.38444991951639,0.6545454561710358,0.6459144218401476
UserPreferences,0.4035740326109685,0.7231578952387759,0.6241548088820357
Database,0.3767462368522372,0.7177142901079995,0.534689649939537
Data,0.42749275133303066,0.8184466001044199,0.4939323549240249
Monitoring,0.25439504782358807,0.6400000005960464,0.514267577479283
TextUtility,0.3889449316669594,0.7363636378537525,0.5614617868241939
