pr,acc,f-measure,precision
3778,0.5555555820465088,0.8399999999999999,0.5608333333333334
3783,0.20000000298023224,0.68,0.365
3784,0.7142857313156128,0.92,0.8373015873015873
3785,0.3333333432674408,0.68,0.38242424242424244
3789,0.1428571492433548,0.76,0.12333333333333332
3790,0.25,0.76,0.32666666666666666
3798,0.4166666567325592,0.72,0.6267916865742953
3800,0.25,0.88,0.25
3801,0.27272728085517883,0.68,0.2727272727272727
3806,0.25,0.88,0.24666666666666665
3808,0.2222222238779068,0.72,0.4066666666666666
3820,0.20000000298023224,0.8399999999999999,0.245
3821,0.4285714328289032,0.8399999999999999,0.495
3824,0.4444444477558136,0.8000000000000002,0.4444444444444444
3825,0.4000000059604645,0.76,0.39555555555555555
3826,0.20000000298023224,0.68,0.24833333333333332
3847,0.3333333432674408,0.76,0.33714285714285713
3862,0.1818181872367859,0.64,0.4883333333333333
3863,0.4000000059604645,0.76,0.446530612244898
3865,0.1428571492433548,0.76,0.2833333333333333
3871,0.5,0.96,0.54
3872,0.20000000298023224,0.8399999999999999,0.36000000000000004
3878,0.4285714328289032,0.8399999999999999,0.495
3881,0.4444444477558136,0.8000000000000002,0.56
3882,0.5714285969734192,0.88,0.6923809523809524
3883,0.2857142984867096,0.6,0.39931818181818185
3884,0.3333333432674408,0.8399999999999999,0.30666666666666664
3886,0.2222222238779068,0.72,0.2533333333333333
3887,0.20000000298023224,0.8399999999999999,0.25
3891,0.4444444477558136,0.8000000000000002,0.44
3895,0.4000000059604645,0.88,0.4
3899,0.20000000298023224,0.8399999999999999,0.25
3904,0.5714285969734192,0.88,0.7122222222222223
3907,0.1875,0.48,0.1875
3909,0.6666666865348816,0.92,0.8666666666666667
3911,0.0,0.68,0.125
3919,0.0833333358168602,0.56,0.08545454545454545
3927,0.10000000149011612,0.64,0.12166666666666667
3931,0.2857142984867096,0.8000000000000002,0.7542857142857142
3932,0.2857142984867096,0.8000000000000002,0.7575757575757576
3942,0.25,0.76,0.38666666666666666
3944,0.5,0.8399999999999999,0.7466666666666666
3947,0.3333333432674408,0.8399999999999999,0.30666666666666664
3950,0.30000001192092896,0.72,0.305
3954,0.3333333432674408,0.68,0.41000000000000003
3964,0.6666666865348816,0.92,0.6800000000000002
3965,0.3333333432674408,0.76,0.38
3967,0.6666666865348816,0.92,0.7828571428571429
3968,0.3076923191547394,0.64,0.3485714285714286
3970,0.2666666805744171,0.56,0.31047619047619046
3976,0.5714285969734192,0.88,0.6133333333333333
3979,0.5,0.76,0.5644444444444444
